path,filename,ext,phase,region,data_type,data_name,date_in_filename
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-09-26.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-09-26
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-10-09.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-10-09
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-10-08.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-10-08
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-09-27.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-09-27
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-07-22.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-07-22
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-10-20.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-10-20
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-06-17.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-06-17
./江苏/电价数据/25年电网边界,实际系统负荷-2025-12-29.xls,.xls,其他,,电价/价格,实际系统负荷,2025-12-29
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-06-03.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-06-03
./江苏/电价数据/25年电网边界,实际系统负荷-2025-12-01.xls,.xls,其他,,电价/价格,实际系统负荷,2025-12-01
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-08-06.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-08-06
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-11-17.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-11-17
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-08-12.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-08-12
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-11-03.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-11-03
./江苏/电价数据/25年电网边界,实际系统负荷-2025-12-15.xls,.xls,其他,,电价/价格,实际系统负荷,2025-12-15
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-10-06.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-10-06
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-07-10.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-07-10
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-09-29.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-09-29
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-10-12.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-10-12
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-07-04.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-07-04
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-09-01.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-09-01
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-09-15.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-09-15
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-06-27.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-06-27
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-08-22.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-08-22
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-11-27.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-11-27
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-12-03.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-12-03
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-12-17.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-12-17
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-20.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-20
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-19.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-19
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-25.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-25
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-08.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-08
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-19.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-19
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-31.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-31
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-25.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-25
./江苏/电价数据/25年电网边界,实际系统负荷-2025-10-04.xls,.xls,其他,,电价/价格,实际系统负荷,2025-10-04
./江苏/电价数据/25年电网边界,实际系统负荷-2025-10-10.xls,.xls,其他,,电价/价格,实际系统负荷,2025-10-10
./江苏/电价数据/25年电网边界,实际系统负荷-2025-10-09.xls,.xls,其他,,电价/价格,实际系统负荷,2025-10-09
./江苏/电价数据/25年电网边界,实际系统负荷-2025-10-21.xls,.xls,其他,,电价/价格,实际系统负荷,2025-10-21
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-28.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-28
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-14.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-14
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-11.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-11
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-05.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-05
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-28.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-28
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-14.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-14
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-12-26.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-12-26
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-06-02.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-06-02
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-06-16.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-06-16
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-11-02.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-11-02
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-08-13.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-08-13
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-11-16.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-11-16
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-08-07.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-08-07
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-07-21.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-07-21
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-10-23.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-10-23
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-09-18.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-09-18
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-09-30.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-09-30
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-07-09.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-07-09
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-09-24.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-09-24
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-06-26.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-06-26
./江苏/电价数据/25年电网边界,实际系统负荷-2025-12-18.xls,.xls,其他,,电价/价格,实际系统负荷,2025-12-18
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-11-26.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-11-26
./江苏/电价数据/25年电网边界,实际系统负荷-2025-12-30.xls,.xls,其他,,电价/价格,实际系统负荷,2025-12-30
./江苏/电价数据/25年电网边界,实际系统负荷-2025-12-24.xls,.xls,其他,,电价/价格,实际系统负荷,2025-12-24
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-08-23.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-08-23
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-09-02.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-09-02
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-09-16.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-09-16
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-10-05.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-10-05
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-07-13.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-07-13
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-10-11.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-10-11
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-07-07.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-07-07
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-07-06.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-07-06
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-10-10.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-10-10
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-07-12.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-07-12
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-10-04.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-10-04
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-09-17.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-09-17
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-09-03.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-09-03
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-08-22.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-08-22
./江苏/电价数据/25年电网边界,实际系统负荷-2025-12-25.xls,.xls,其他,,电价/价格,实际系统负荷,2025-12-25
./江苏/电价数据/25年电网边界,实际系统负荷-2025-12-31.xls,.xls,其他,,电价/价格,实际系统负荷,2025-12-31
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-11-27.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-11-27
./江苏/电价数据/25年电网边界,实际系统负荷-2025-12-19.xls,.xls,其他,,电价/价格,实际系统负荷,2025-12-19
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-06-27.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-06-27
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-09-25.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-09-25
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-07-08.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-07-08
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-09-19.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-09-19
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-10-22.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-10-22
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-07-20.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-07-20
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-08-06.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-08-06
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-11-17.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-11-17
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-08-12.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-08-12
./江苏/电价数据/25年电网边界,实际统调风光情况-风力-汇总-2025-11-03.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-风力-汇总,2025-11-03
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-06-17.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-06-17
./江苏/电价数据/25年电网边界,实际受电情况-华东-2025-06-03.xls,.xls,其他,华东,电价/价格,实际受电情况-华东,2025-06-03
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-12-27.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-12-27
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-15.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-15
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-01.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-01
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-29.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-29
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-04.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-04
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-10.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-10
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-15.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-15
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-01.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-01
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-29.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-29
./江苏/电价数据/25年电网边界,实际系统负荷-2025-10-20.xls,.xls,其他,,电价/价格,实际系统负荷,2025-10-20
./江苏/电价数据/25年电网边界,实际系统负荷-2025-10-08.xls,.xls,其他,,电价/价格,实际系统负荷,2025-10-08
./江苏/电价数据/25年电网边界,实际系统负荷-2025-10-22.xls,.xls,其他,,电价/价格,实际系统负荷,2025-10-22
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-17.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-17
./江苏/电价数据/25年电网边界,实际燃机固定出力总值-汇总-2025-12-03.xls,.xls,其他,汇总,电价/价格,实际燃机固定出力总值-汇总,2025-12-03
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-06.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-06
./江苏/电价数据/25年电网边界,实际系统负荷-2025-07-12.xls,.xls,其他,,电价/价格,实际系统负荷,2025-07-12
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-17.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-17
./江苏/电价数据/25年电网边界,实际系统负荷-2025-09-03.xls,.xls,其他,,电价/价格,实际系统负荷,2025-09-03
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-12-25.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-12-25
./江苏/电价数据/25年电网边界,实际统调风光情况-光伏-汇总-2025-12-31.xls,.xls,其他,汇总,电价/价格,实际统调风光情况-光伏-汇总,2025-12-31
